111
1	WMY	40987	20	117
2	WMY	40620	19	115
3	SDF	38472	19	112
4	WMY	37598	18	106
5	CS	36795	18	109
6	WMY	35118	18	105
7	SDF	32838	17	96
8	DF	8610	7	39
9	WMY	7812	6	33
10	WW	820	1	4
11	XZX	616	20	0
12	WMY	600	1	4
13	S	469	20	0
14	ZFL	340	1	1
15	SDF	260	1	0
16	SDF	250	1	0
17	SDF	240	1	0
18	SDF	230	1	0
19	SF	220	1	1
20	SDF	220	1	0
21	SDF	210	1	0
22	SDF	200	1	0
23	SDF	190	1	0
24	SDF	180	1	0
25	S	170	1	0
26	SDF	170	1	0
27	SDF	160	1	0
28	SDF	150	1	0
29	DAF	150	1	0
30	S	140	1	0
31	SDF	140	1	0
32	SDF	140	1	0
33	SDF	130	1	0
34	S	120	1	0
35	WSD	120	1	0
36	DF	120	1	0
37	SDF	120	1	0
38	SDF	120	1	0
39	S	110	1	0
40	S	110	1	0
41	SDF	110	1	0
42	SDF	110	1	0
43	SDF	110	1	0
44	DF	110	1	0
45	SD	110	1	0
46	SDF	110	1	0
47	AA	110	1	0
48	CSS	110	1	0
49	SDF	100	1	0
50	S	100	1	0
51	SDF	100	1	0
52	SD	100	1	0
53	SD	100	1	0
54	A	100	1	0
55	SDF	100	1	0
56	SDF	100	1	0
57	ADSF	100	1	0
58	SDF	100	1	0
59	SDF	100	1	0
60	DF	100	1	0
61	ADSF	100	1	0
62	DF	100	1	0
63	SSSS	100	1	0
64	SDF	100	1	0
65	SDF	100	1	0
66	DSAF	100	1	0
67	SS	100	1	0
68	S	100	1	0
69	SDF	100	1	0
70	SADF	100	1	0
71	AA	100	1	0
72	CESHI	100	1	0
73	SDF	90	1	0
74	SD	90	1	0
75	SDF	90	1	0
76	SDF	90	1	0
77	FS	90	1	0
78	SDF	90	1	0
79	SDF	90	1	0
80	SDF	90	1	0
81	SDF	90	1	0
82	SDF	90	1	0
83	DSAF	90	1	0
84	SDF	90	1	0
85	S	90	1	0
86	AA	90	1	0
87	S	80	1	0
88	S	80	1	0
89	SD	80	1	0
90	S	80	1	0
91	S	80	1	0
92	SAD	80	1	0
93	SDF	80	1	0
94	SDAF	80	1	0
95	ASDF	80	1	0
96	A	80	1	0
97	DSF	80	1	0
98	SDF	80	1	0
99	SDF	80	1	0
100	SDF	80	1	0
101	SDF	80	1	0
102	DSAF	80	1	0
103	S	80	1	0
104	SDF	80	1	0
105	SDF	70	1	0
106	SS	70	1	0
107	SDF	70	1	0
108	SDF	70	1	0
109	DSAF	70	1	0
110	S	70	1	0
111	S	60	1	0
